Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
886388,SI,ESTADO,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",INSTITUTO DE CRÉDITO OFICIAL,10/02/2026,LÍNEA DE FINANCIACIÓN “ICO CRECIMIENTO EXPORTADORES” - MINIMIS GENERAL,
886383,NO,AUTONOMICA,PRINCIPADO DE ASTURIAS,"CONSEJERÍA DE CIENCIA, EMPRESAS, FORMACIÓN Y EMPLEO",10/02/2026,Subvención nominativa a UGT por participación institucional 2026,
886382,NO,AUTONOMICA,PRINCIPADO DE ASTURIAS,"CONSEJERÍA DE CIENCIA, EMPRESAS, FORMACIÓN Y EMPLEO",10/02/2026,Subvención nominativa a CCOO por participación institucional 2026,
886379,NO,AUTONOMICA,CANARIAS,"CONSEJERÍA DE UNIVERSIDADES, CIENCIA E INNOVACIÓN Y CULTURA",10/02/2026,Orden aportación dineraria mensual ULPGC 2026,
886378,NO,LOCAL,COBISA,AYUNTAMIENTO DE COBISA,10/02/2026,BASES CONCURSO DE CARNAVAL 2026,
886375,NO,LOCAL,SANT PERE DE RIBES,AYUNTAMIENTO DE SANT PERE DE RIBES,10/02/2026,Convenio que regula la subvención nominativa 2026 entre el Ayuntamiento de Sant Pere de ribes y la escuela Riera de Ribes  para el mantenimiento,Conveni que regula la subvenció nominativa 2026 entre l'Ajuntament de Sant Pere de Ribes i l'escola Riera de Ribesi per al manteniment
886374,NO,OTROS,UNIVERSIDAD DE ALICANTE,,10/02/2026,MOVILIDAD SICUE DE LA UNIVERSIDAD DE ALICANTE. CURSO 2026-27.,MOBILITAT SICUE DE LA UNIVERSITAT D'ALACANT. CURS 2026-27.
886373,NO,LOCAL,PENÍSCOLA/PEÑÍSCOLA,AYUNTAMIENTO DE PENÍSCOLA/PEÑÍSCOLA,10/02/2026,"CAMPAÑA BONOS COMERCIO CONSUMO PEÑÍSCOLA”, DEL AYUNTAMIENTO DE PEÑÍSCOLA PARA EL EJERCICIO 2025",
886371,NO,LOCAL,COMARCA DE HOYA DE HUESCA/PLANA DE UESCA,COMARCA DE HOYA DE HUESCA/PLANA DE UESCA,10/02/2026,Convenio interadministrativo de cooperación en materia de deporte entre la Comarca de Hoya de Huesca/Plana de Uesca y el Ayuntamiento de Quicena durante el año 2025,
886370,NO,LOCAL,SAHÚN,AYUNTAMIENTO DE SAHÚN,10/02/2026,BASES DE LA CONVOCATORIA PARA LA CONCESIÓN DE UNA SUBVENCIÓN A LOS ALUMNOS Y ALUMNAS ESCOLARIZADOS EN LA UNIDAD DE SAHÚN CRA ALTA RIBAGORZA CURSO 2025/2026,
886369,NO,LOCAL,SANT PERE DE RIBES,AYUNTAMIENTO DE SANT PERE DE RIBES,10/02/2026,Convenio que regula la subvención nominativa 2026 entre el Ayuntamiento de Sant Pere de ribes y  la Asociaciòn Geganters de Ribes,Conveni que regula la subvenció nominativa 2026 entre l'Ajuntament de Sant Pere de Ribes i la Associació Geganters de Ribes
886368,NO,LOCAL,HONDARRIBIA,AYUNTAMIENTO DE HONDARRIBIA,10/02/2026,CONVOCATORIA DE SUBVENCIONES A ORGANIZACIONES NO GUBERNAMENTALES PARA FINANCIAR PROGRAMAS DE COOPERACIÓN CON LOS PAÍSES EN VÍAS DE DESARROLLO. 2025.,"GOBERNUZ KANPOKO ERAKUNDEENTZAKO DIRULAGUNTZEN DEIALDIA, GARAPEN BIDEAN DAUDEN HERRIALDEEKIN LANKIDETZA PROGRAMAK FINANTZATZEKO. 2025."
886366,NO,LOCAL,SANT PERE DE RIBES,AYUNTAMIENTO DE SANT PERE DE RIBES,10/02/2026,Convenio que regula la subvención nominativa 2026 entre el Ayuntamiento de Sant Pere de ribes y  la Hermandad de Ntra. Sra. del Rocio de la Comarca del Garraf,Conveni que regula la subvenció nominativa 2026 entre l'Ajuntament de Sant Pere de Ribes i la Hermandad de Ntra. Sra. del Rocio de la Comarca del Garraf
